"Location Properties"
"Location Name = PM7"
"Location ID = 9fe154eb-7703-5520-8bcd-425244eca219"
""
"Report Properties"
"Start Time = 2023-10-31 08:00:00.073"
"Duration = 05:55:26"
"Readings = 4266"
"Time Offset = -07:00:00"
""
"Instrument Properties"
"Device Model = Level TROLL 500"
"Device SN = 1065110"
"Device Firmware = 3.10"
""
"Log Properties"
"Log Name = PM7_3_SDT_PT-01b"
"Log Type = Fast Linear"
"Log File Number = 5"
"Log ID = 14c41895-1edf-51c8-9518-84df5a6c3fd3"
"Interval = 00:00:05"
""
""
"Date Time","Pressure (psi) (1065110)","Temperature (°F) (1065110)","Depth (ft) (1065110)"
"2023-10-31 08:00:00.073","4.236848","71.77482","9.782752"
"2023-10-31 08:00:05.074","4.235463","71.77482","9.779552"
"2023-10-31 08:00:10.074","4.236701","71.77482","9.782411"
"2023-10-31 08:00:15.074","4.23661","71.77482","9.782201"
"2023-10-31 08:00:20.074","4.236571","71.77482","9.782112"
"2023-10-31 08:00:25.074","4.237263","71.77482","9.78371"
"2023-10-31 08:00:30.074","4.236571","71.77743","9.782112"
"2023-10-31 08:00:35.074","4.236428","71.78004","9.781782"
"2023-10-31 08:00:40.074","4.237224","71.78004","9.783619"
"2023-10-31 08:00:45.074","4.235899","71.78004","9.78056"
"2023-10-31 08:00:50.074","4.236141","71.78265","9.781117"
"2023-10-31 08:00:55.074","4.23653","71.78004","9.782017"
"2023-10-31 08:01:00.074","4.236571","71.78004","9.782112"
"2023-10-31 08:01:05.074","4.236848","71.78004","9.782752"
"2023-10-31 08:01:10.074","4.235463","71.78265","9.779552"
"2023-10-31 08:01:15.074","4.235899","71.78265","9.78056"
"2023-10-31 08:01:20.074","4.23597","71.78265","9.780723"
"2023-10-31 08:01:25.074","4.236848","71.78265","9.782752"
"2023-10-31 08:01:30.074","4.236141","71.78265","9.781117"
"2023-10-31 08:01:35.074","4.236049","71.78265","9.780905"
"2023-10-31 08:01:40.074","4.23601","71.78528","9.780816"
"2023-10-31 08:01:45.074","4.236571","71.78528","9.782112"
"2023-10-31 08:01:50.074","4.23661","71.78528","9.782201"
"2023-10-31 08:01:55.074","4.235819","71.78265","9.780375"
"2023-10-31 08:02:00.074","4.235721","71.78528","9.780149"
"2023-10-31 08:02:05.074","4.23601","71.78528","9.780816"
"2023-10-31 08:02:10.074","4.235423","71.78528","9.779461"
"2023-10-31 08:02:15.074","4.236701","71.78528","9.782411"
"2023-10-31 08:02:20.074","4.235423","71.78789","9.779461"
"2023-10-31 08:02:25.074","4.236571","71.78789","9.782112"
"2023-10-31 08:02:30.074","4.236888","71.78528","9.782843"
"2023-10-31 08:02:35.074","4.236468","71.78789","9.781874"
"2023-10-31 08:02:40.074","4.236428","71.78528","9.781782"
"2023-10-31 08:02:45.074","4.235859","71.78528","9.780467"
"2023-10-31 08:02:50.074","4.236282","71.78789","9.781445"
"2023-10-31 08:02:55.074","4.235721","71.78789","9.780149"
"2023-10-31 08:03:00.074","4.236282","71.78789","9.781445"
"2023-10-31 08:03:05.074","4.235682","71.7905","9.780058"
"2023-10-31 08:03:10.074","4.23576","71.78789","9.780239"
"2023-10-31 08:03:15.074","4.237263","71.79314","9.78371"
"2023-10-31 08:03:20.074","4.235819","71.78789","9.780375"
"2023-10-31 08:03:25.074","4.235287","71.7905","9.779147"
"2023-10-31 08:03:30.074","4.236101","71.7905","9.781026"
"2023-10-31 08:03:35.074","4.236141","71.79314","9.781117"
