"Location Properties"
"Location Name = PT-01c"
"Location ID = 31c22cef-2fe9-5bd0-9574-dabca8139fbb"
""
"Report Properties"
"Start Time = 2023-10-24 08:00:00.060"
"Duration = 06:00:01"
"Readings = 4321"
"Time Offset = -07:00:00"
""
"Instrument Properties"
"Device Model = Level TROLL 700"
"Device SN = 825116"
"Device Firmware = 3.06"
""
"Log Properties"
"Log Name = PT-01c_step_PT-01c"
"Log Type = Fast Linear"
"Log File Number = 2"
"Log ID = 347bf46b-c08a-5520-871e-8a6731522a8d"
"Interval = 00:00:05"
""
""
"Date Time","Pressure (psi) (825116)","Temperature (°C) (825116)","Depth (ft) (825116)"
"2023-10-24 08:00:00.060","21.69196","21.54134","50.08606"
"2023-10-24 08:00:05.061","21.68987","21.53407","50.08123"
"2023-10-24 08:00:10.061","21.69449","21.54425","50.09191"
"2023-10-24 08:00:15.061","21.69466","21.5515","50.09231"
"2023-10-24 08:00:20.061","21.69357","21.5457","50.08978"
"2023-10-24 08:00:25.061","21.69217","21.54715","50.08654"
"2023-10-24 08:00:30.061","21.6941","21.54642","50.09101"
"2023-10-24 08:00:35.061","21.69918","21.53917","50.10273"
"2023-10-24 08:00:40.061","21.67392","21.56094","50.04441"
"2023-10-24 08:00:45.061","21.70977","21.55948","50.1272"
"2023-10-24 08:00:50.061","21.70574","21.54715","50.11789"
"2023-10-24 08:00:55.061","21.70043","21.56601","50.10562"
"2023-10-24 08:01:00.061","21.70174","21.56094","50.10863"
"2023-10-24 08:01:05.061","21.69975","21.53407","50.10404"
"2023-10-24 08:01:10.061","21.68723","21.54134","50.07514"
"2023-10-24 08:01:15.061","21.68174","21.54715","50.06247"
"2023-10-24 08:01:20.061","21.69357","21.54062","50.08978"
"2023-10-24 08:01:25.061","21.68705","21.54062","50.07473"
"2023-10-24 08:01:30.061","21.69732","21.55731","50.09845"
"2023-10-24 08:01:35.061","21.68259","21.54715","50.06444"
"2023-10-24 08:01:40.061","21.69799","21.53772","50.09998"
"2023-10-24 08:01:45.061","21.69715","21.54715","50.09806"
"2023-10-24 08:01:50.061","21.69178","21.5457","50.08566"
"2023-10-24 08:01:55.061","21.69133","21.54933","50.08462"
"2023-10-24 08:02:00.064","21.69312","21.5457","50.08875"
"2023-10-24 08:02:05.061","21.69096","21.55005","50.08376"
"2023-10-24 08:02:10.061","21.68987","21.5486","50.08123"
"2023-10-24 08:02:15.061","21.69034","21.54787","50.08232"
"2023-10-24 08:02:20.147","21.70093","21.5769","50.10678"
"2023-10-24 08:02:25.063","21.70128","21.58344","50.10757"
"2023-10-24 08:02:30.148","21.69834","21.58923","50.10079"
"2023-10-24 08:02:35.142","21.6985","21.5936","50.10117"
"2023-10-24 08:02:40.061","21.68953","21.58997","50.08046"
"2023-10-24 08:02:45.061","21.69318","21.60013","50.08889"
"2023-10-24 08:02:50.061","21.69619","21.60666","50.09583"
"2023-10-24 08:02:55.155","21.69868","21.61101","50.10157"
"2023-10-24 08:03:00.145","21.69989","21.61246","50.10436"
"2023-10-24 08:03:05.061","21.69568","21.61246","50.09465"
"2023-10-24 08:03:10.137","21.69635","21.61755","50.09621"
"2023-10-24 08:03:15.061","21.6918","21.61319","50.0857"
"2023-10-24 08:03:20.061","21.6928","21.61972","50.088"
"2023-10-24 08:03:25.061","21.69492","21.62117","50.09291"
"2023-10-24 08:03:30.061","21.69431","21.6306","50.09148"
"2023-10-24 08:03:35.093","21.69766","21.63133","50.09922"
"2023-10-24 08:03:40.061","21.69492","21.62915","50.09291"
"2023-10-24 08:03:45.125","21.70145","21.63278","50.10797"
"2023-10-24 08:03:50.061","21.69346","21.62843","50.08953"
"2023-10-24 08:03:55.075","21.69641","21.64076","50.09633"
"2023-10-24 08:04:00.061","21.69492","21.64294","50.0929"
"2023-10-24 08:04:05.140","21.69934","21.64948","50.1031"
"2023-10-24 08:04:10.146","21.69927","21.64584","50.10294"
"2023-10-24 08:04:15.061","21.69699","21.64584","50.09767"
"2023-10-24 08:04:20.061","21.69668","21.64294","50.09696"
"2023-10-24 08:04:25.061","21.6918","21.64439","50.0857"
"2023-10-24 08:04:30.061","21.69684","21.65746","50.09734"
"2023-10-24 08:04:35.125","21.69934","21.65819","50.1031"
"2023-10-24 08:04:40.061","21.69335","21.65384","50.08928"
"2023-10-24 08:04:45.061","21.69379","21.66035","50.0903"
"2023-10-24 08:04:50.166","21.69989","21.66035","50.10436"
"2023-10-24 08:04:55.061","21.69164","21.65599","50.08532"
"2023-10-24 08:05:00.061","21.69335","21.66035","50.08928"
"2023-10-24 08:05:05.061","21.69335","21.66472","50.08928"
"2023-10-24 08:05:10.145","21.69614","21.66835","50.09571"
"2023-10-24 08:05:15.061","21.69972","21.66252","50.10398"
"2023-10-24 08:05:20.088","21.7011","21.66252","50.10717"
"2023-10-24 08:05:25.061","21.69011","21.66252","50.0818"
"2023-10-24 08:05:30.061","21.69218","21.66182","50.08658"
"2023-10-24 08:05:35.061","21.69684","21.66835","50.09734"
"2023-10-24 08:05:40.061","21.69363","21.67123","50.08992"
"2023-10-24 08:05:45.061","21.69546","21.67343","50.09414"
"2023-10-24 08:05:50.147","21.69766","21.68068","50.09922"
"2023-10-24 08:05:55.094","21.70229","21.6785","50.10991"
"2023-10-24 08:06:00.061","21.69397","21.67343","50.09069"
"2023-10-24 08:06:05.145","21.6995","21.67923","50.10349"
"2023-10-24 08:06:10.061","21.69529","21.67343","50.09375"
"2023-10-24 08:06:15.061","21.69198","21.67995","50.0861"
"2023-10-24 08:06:20.161","21.69927","21.6843","50.10294"
"2023-10-24 08:06:25.072","21.6958","21.68213","50.09493"
"2023-10-24 08:06:30.150","21.69492","21.67995","50.0929"
"2023-10-24 08:06:35.061","21.69218","21.67776","50.08658"
"2023-10-24 08:06:40.061","21.69414","21.6785","50.09109"
"2023-10-24 08:06:45.061","21.69363","21.68068","50.08992"
"2023-10-24 08:06:50.061","21.6951","21.6843","50.0933"
"2023-10-24 08:06:55.061","21.69546","21.68576","50.09414"
"2023-10-24 08:07:00.160","21.69968","21.68866","50.10389"
"2023-10-24 08:07:05.129","21.69934","21.68503","50.1031"
"2023-10-24 08:07:10.061","21.68996","21.67923","50.08146"
"2023-10-24 08:07:15.061","21.69218","21.68648","50.08658"
"2023-10-24 08:07:20.061","21.69546","21.68721","50.09414"
"2023-10-24 08:07:25.061","21.69458","21.69229","50.09212"
"2023-10-24 08:07:30.147","21.70037","21.69954","50.10548"
"2023-10-24 08:07:35.061","21.69619","21.69229","50.09583"
"2023-10-24 08:07:40.163","21.69543","21.69519","50.09407"
"2023-10-24 08:07:45.061","21.69792","21.69156","50.09982"
"2023-10-24 08:07:50.061","21.6918","21.68503","50.0857"
"2023-10-24 08:07:55.061","21.69397","21.69156","50.09069"
"2023-10-24 08:08:00.061","21.70041","21.69664","50.10556"
"2023-10-24 08:08:05.129","21.70005","21.70099","50.10476"
"2023-10-24 08:08:10.061","21.69135","21.69881","50.08466"
"2023-10-24 08:08:15.140","21.69766","21.70027","50.09922"
"2023-10-24 08:08:20.061","21.6918","21.69084","50.0857"
"2023-10-24 08:08:25.061","21.69346","21.69446","50.08953"
"2023-10-24 08:08:30.061","21.69263","21.69664","50.08761"
"2023-10-24 08:08:35.061","21.69624","21.69809","50.09594"
"2023-10-24 08:08:40.128","21.70037","21.70317","50.10548"
"2023-10-24 08:08:45.061","21.69701","21.70244","50.09773"
"2023-10-24 08:08:50.125","21.69718","21.70099","50.09812"
"2023-10-24 08:08:55.061","21.6928","21.69736","50.088"
"2023-10-24 08:09:00.061","21.69414","21.70027","50.09109"
"2023-10-24 08:09:05.061","21.69263","21.70462","50.08761"
"2023-10-24 08:09:10.145","21.69826","21.70752","50.10061"
"2023-10-24 08:09:15.061","21.69476","21.7039","50.09252"
"2023-10-24 08:09:20.131","21.70037","21.7068","50.10548"
"2023-10-24 08:09:25.061","21.6918","21.70027","50.0857"
"2023-10-24 08:09:30.061","21.69218","21.70099","50.08658"
"2023-10-24 08:09:35.061","21.69458","21.7039","50.09212"
"2023-10-24 08:09:40.061","21.69118","21.7039","50.08427"
"2023-10-24 08:09:45.061","21.69379","21.70607","50.0903"
"2023-10-24 08:09:50.147","21.69766","21.71043","50.09922"
"2023-10-24 08:09:55.061","21.69792","21.7097","50.09982"
"2023-10-24 08:10:00.163","21.70005","21.70897","50.10476"
"2023-10-24 08:10:05.070","21.7002","21.70897","50.1051"
"2023-10-24 08:10:10.061","21.69218","21.69954","50.08658"
"2023-10-24 08:10:15.061","21.69346","21.7039","50.08953"
"2023-10-24 08:10:20.061","21.69546","21.70897","50.09414"
"2023-10-24 08:10:25.061","21.69475","21.71333","50.09251"
"2023-10-24 08:10:30.150","21.69286","21.71623","50.08815"
"2023-10-24 08:10:35.061","21.69601","21.71115","50.09542"
"2023-10-24 08:10:40.078","21.6985","21.71043","50.10117"
"2023-10-24 08:10:45.061","21.69329","21.7068","50.08914"
"2023-10-24 08:10:50.061","21.69135","21.70897","50.08466"
"2023-10-24 08:10:55.061","21.6928","21.70825","50.088"
"2023-10-24 08:11:00.072","21.69766","21.71552","50.09922"
"2023-10-24 08:11:05.061","21.69122","21.7126","50.08434"
"2023-10-24 08:11:10.148","21.70037","21.71552","50.10548"
"2023-10-24 08:11:15.100","21.6985","21.71407","50.10117"
"2023-10-24 08:11:20.061","21.69118","21.70607","50.08427"
"2023-10-24 08:11:25.061","21.69235","21.71043","50.08697"
"2023-10-24 08:11:30.061","21.69263","21.71043","50.08761"
"2023-10-24 08:11:35.061","21.69447","21.71477","50.09187"
"2023-10-24 08:11:40.125","21.69635","21.71913","50.09621"
"2023-10-24 08:11:45.061","21.69318","21.7126","50.08889"
"2023-10-24 08:11:50.135","21.70161","21.71477","50.10835"
"2023-10-24 08:11:55.061","21.69045","21.71333","50.08257"
"2023-10-24 08:12:00.061","21.69318","21.71188","50.08889"
"2023-10-24 08:12:05.061","21.68971","21.71115","50.08086"
"2023-10-24 08:12:10.088","21.69868","21.71696","50.10157"
"2023-10-24 08:12:15.157","21.69635","21.72276","50.09621"
"2023-10-24 08:12:20.061","21.69732","21.71552","50.09845"
"2023-10-24 08:12:25.070","21.69749","21.71407","50.09884"
"2023-10-24 08:12:30.061","21.6938","21.70897","50.09031"
"2023-10-24 08:12:35.061","21.69363","21.71188","50.08992"
"2023-10-24 08:12:40.061","21.69458","21.71333","50.09212"
"2023-10-24 08:12:45.080","21.69735","21.7213","50.09851"
"2023-10-24 08:12:50.061","21.69492","21.7184","50.09291"
"2023-10-24 08:12:55.126","21.69465","21.71985","50.09227"
"2023-10-24 08:13:00.125","21.69619","21.7184","50.09583"
"2023-10-24 08:13:05.061","21.69218","21.7097","50.08658"
"2023-10-24 08:13:10.061","21.68906","21.7097","50.07938"
"2023-10-24 08:13:15.061","21.69235","21.71696","50.08697"
"2023-10-24 08:13:20.073","21.69692","21.72421","50.09751"
"2023-10-24 08:13:25.157","21.69735","21.71913","50.09851"
"2023-10-24 08:13:30.061","21.69563","21.72348","50.09452"
"2023-10-24 08:13:35.061","21.69601","21.71696","50.09542"
"2023-10-24 08:13:40.061","21.69329","21.71188","50.08914"
"2023-10-24 08:13:45.061","21.69118","21.71623","50.08427"
"2023-10-24 08:13:50.061","21.69218","21.7184","50.08658"
"2023-10-24 08:13:55.061","21.69475","21.7213","50.09251"
"2023-10-24 08:14:00.150","21.6951","21.72711","50.0933"
"2023-10-24 08:14:05.061","21.6928","21.72856","50.088"
"2023-10-24 08:14:10.165","21.69766","21.72348","50.09922"
"2023-10-24 08:14:15.162","21.69809","21.71913","50.10023"
"2023-10-24 08:14:20.061","21.69568","21.71552","50.09465"
"2023-10-24 08:14:25.061","21.69218","21.71768","50.08658"
"2023-10-24 08:14:30.061","21.69013","21.7206","50.08185"
"2023-10-24 08:14:35.067","21.69218","21.72203","50.08658"
"2023-10-24 08:14:40.061","21.69601","21.72203","50.09542"
"2023-10-24 08:14:45.162","21.69492","21.72566","50.0929"
"2023-10-24 08:14:50.152","21.69414","21.72566","50.09109"
"2023-10-24 08:14:55.061","21.22563","21.71913","49.00933"
"2023-10-24 08:15:00.159","19.19317","21.72203","44.31643"
"2023-10-24 08:15:05.061","18.51702","21.71623","42.75523"
"2023-10-24 08:15:10.061","19.1636","21.71913","44.24816"
"2023-10-24 08:15:15.061","19.88635","21.72203","45.91696"
"2023-10-24 08:15:20.155","20.44461","21.72784","47.20596"
"2023-10-24 08:15:25.130","20.51757","21.72348","47.37443"
"2023-10-24 08:15:30.061","20.56221","21.71913","47.4775"
"2023-10-24 08:15:35.108","20.51184","21.72421","47.3612"
"2023-10-24 08:15:40.061","20.53212","21.71623","47.40802"
"2023-10-24 08:15:45.061","20.46771","21.71768","47.2593"
"2023-10-24 08:15:50.072","20.43554","21.7213","47.18502"
"2023-10-24 08:15:55.061","20.44795","21.72493","47.21368"
"2023-10-24 08:16:00.061","20.46717","21.71985","47.25807"
"2023-10-24 08:16:05.147","20.44964","21.73001","47.21758"
"2023-10-24 08:16:10.061","20.44389","21.72203","47.2043"
"2023-10-24 08:16:15.061","20.45319","21.72276","47.22577"
"2023-10-24 08:16:20.061","20.43225","21.72784","47.17744"
"2023-10-24 08:16:25.061","20.4604","21.73219","47.24244"
"2023-10-24 08:16:30.127","20.47872","21.73656","47.28473"
"2023-10-24 08:16:35.070","20.43773","21.73509","47.19008"
"2023-10-24 08:16:40.126","20.43831","21.73872","47.19142"
"2023-10-24 08:16:45.061","20.43114","21.73146","47.17487"
"2023-10-24 08:16:50.061","20.45446","21.73219","47.22872"
"2023-10-24 08:16:55.061","20.45106","21.73438","47.22085"
"2023-10-24 08:17:00.072","20.45726","21.74091","47.23518"
"2023-10-24 08:17:05.061","20.4747","21.7438","47.27544"
"2023-10-24 08:17:10.142","20.48774","21.7438","47.30555"
"2023-10-24 08:17:15.061","20.45134","21.7467","47.2215"
"2023-10-24 08:17:20.127","20.45635","21.75323","47.23307"
"2023-10-24 08:17:25.061","20.50656","21.74599","47.34901"
"2023-10-24 08:17:30.061","20.44489","21.75395","47.20661"
"2023-10-24 08:17:35.061","20.4543","21.75615","47.22833"
"2023-10-24 08:17:40.061","20.46436","21.76048","47.25158"
"2023-10-24 08:17:45.164","20.5261","21.76846","47.39413"
"2023-10-24 08:17:50.061","20.52885","21.77136","47.40049"
"2023-10-24 08:17:55.134","20.51599","21.77065","47.37079"
"2023-10-24 08:18:00.162","20.49764","21.76991","47.32841"
"2023-10-24 08:18:05.061","20.49186","21.76701","47.31508"
"2023-10-24 08:18:10.061","20.54048","21.77209","47.42734"
"2023-10-24 08:18:15.061","20.51454","21.78299","47.36744"
"2023-10-24 08:18:20.082","20.55119","21.78587","47.45205"
"2023-10-24 08:18:25.061","20.55962","21.79314","47.47152"
"2023-10-24 08:18:30.146","20.5084","21.79967","47.35325"
"2023-10-24 08:18:35.061","20.51384","21.79967","47.36581"
"2023-10-24 08:18:40.162","20.5041","21.80038","47.34333"
"2023-10-24 08:18:45.069","20.49469","21.79749","47.32159"
"2023-10-24 08:18:50.061","20.51295","21.79749","47.36378"
"2023-10-24 08:18:55.075","20.50509","21.8062","47.34562"
"2023-10-24 08:19:00.061","20.51679","21.81126","47.37263"
"2023-10-24 08:19:05.127","20.54604","21.81563","47.44018"
"2023-10-24 08:19:10.132","20.52582","21.81635","47.39348"
"2023-10-24 08:19:15.061","20.52209","21.81271","47.38487"
"2023-10-24 08:19:20.153","20.50578","21.81926","47.34721"
"2023-10-24 08:19:25.061","20.52612","21.81563","47.39418"
"2023-10-24 08:19:30.061","20.48394","21.82433","47.29679"
"2023-10-24 08:19:35.061","20.51325","21.83087","47.36446"
"2023-10-24 08:19:40.061","20.51046","21.83157","47.35801"
"2023-10-24 08:19:45.082","20.56423","21.83595","47.48217"
"2023-10-24 08:19:50.167","20.58072","21.83665","47.52025"
"2023-10-24 08:19:55.061","20.60125","21.83449","47.56764"
"2023-10-24 08:20:00.061","20.60992","21.8432","47.58768"
"2023-10-24 08:20:05.061","20.6008","21.8461","47.5666"
"2023-10-24 08:20:10.061","20.57291","21.85336","47.5022"
"2023-10-24 08:20:15.129","20.58234","21.86133","47.52399"
"2023-10-24 08:20:20.075","20.61657","21.85698","47.60303"
"2023-10-24 08:20:25.061","20.58574","21.85336","47.53184"
"2023-10-24 08:20:30.061","20.57162","21.85551","47.49924"
"2023-10-24 08:20:35.061","20.57591","21.85989","47.50914"
"2023-10-24 08:20:40.100","20.60313","21.87004","47.572"
"2023-10-24 08:20:45.061","20.58419","21.86859","47.52825"
"2023-10-24 08:20:50.102","20.59258","21.87221","47.54762"
"2023-10-24 08:20:55.098","20.56069","21.87076","47.474"
"2023-10-24 08:21:00.168","20.55677","21.87221","47.46495"
"2023-10-24 08:21:05.061","20.61858","21.87221","47.60765"
"2023-10-24 08:21:10.061","20.57121","21.87801","47.49828"
"2023-10-24 08:21:15.061","20.55355","21.88092","47.45751"
"2023-10-24 08:21:20.061","20.54412","21.886","47.43574"
"2023-10-24 08:21:25.129","20.59713","21.88744","47.55813"
"2023-10-24 08:21:30.061","20.62549","21.89035","47.62363"
"2023-10-24 08:21:35.061","20.55922","21.88672","47.4706"
"2023-10-24 08:21:40.061","20.54709","21.88744","47.4426"
"2023-10-24 08:21:45.061","20.54631","21.8918","47.4408"
"2023-10-24 08:21:50.070","20.60287","21.90195","47.57139"
"2023-10-24 08:21:55.140","20.56044","21.90341","47.47342"
"2023-10-24 08:22:00.061","20.5653","21.90268","47.48463"
"2023-10-24 08:22:05.121","20.54659","21.90413","47.44144"
"2023-10-24 08:22:10.168","20.55099","21.90486","47.45161"
"2023-10-24 08:22:15.061","20.57744","21.90123","47.51268"
"2023-10-24 08:22:20.061","20.58038","21.90703","47.51946"
"2023-10-24 08:22:25.061","20.57257","21.91573","47.50144"
"2023-10-24 08:22:30.147","20.59395","21.91791","47.55079"
"2023-10-24 08:22:35.061","20.60217","21.91284","47.56978"
"2023-10-24 08:22:40.121","20.58826","21.91718","47.53765"
"2023-10-24 08:22:45.061","20.57546","21.91502","47.5081"
"2023-10-24 08:22:50.061","20.55143","21.91138","47.45261"
"2023-10-24 08:22:55.061","20.54107","21.91138","47.4287"
"2023-10-24 08:23:00.070","20.57924","21.92009","47.51682"
"2023-10-24 08:23:05.061","20.56484","21.91791","47.48358"
"2023-10-24 08:23:10.146","20.57903","21.92227","47.51633"
"2023-10-24 08:23:15.061","20.577","21.91791","47.51165"
"2023-10-24 08:23:20.061","20.58042","21.91718","47.51955"
"2023-10-24 08:23:25.061","20.57669","21.91791","47.51095"
"2023-10-24 08:23:30.061","20.52776","21.92372","47.39797"
"2023-10-24 08:23:35.061","20.57832","21.92662","47.5147"
"2023-10-24 08:23:40.143","20.5614","21.92807","47.47564"
"2023-10-24 08:23:45.061","20.58037","21.92444","47.51944"
"2023-10-24 08:23:50.151","20.54874","21.92879","47.44641"
"2023-10-24 08:23:55.061","20.55259","21.92589","47.45529"
"2023-10-24 08:24:00.061","20.55463","21.92662","47.46001"
"2023-10-24 08:24:05.061","20.58824","21.9317","47.53761"
"2023-10-24 08:24:10.061","20.5426","21.9375","47.43224"
"2023-10-24 08:24:15.140","20.55395","21.9375","47.45844"
"2023-10-24 08:24:20.061","20.59349","21.93532","47.54974"
"2023-10-24 08:24:25.095","20.56845","21.94185","47.49192"
"2023-10-24 08:24:30.078","20.54571","21.9375","47.43941"
"2023-10-24 08:24:35.162","20.54617","21.93822","47.44047"
"2023-10-24 08:24:40.061","20.52209","21.93604","47.38488"
"2023-10-24 08:24:45.072","20.54996","21.9404","47.44921"
"2023-10-24 08:24:50.061","20.5805","21.9433","47.51973"
"2023-10-24 08:24:55.061","20.55768","21.9433","47.46704"
"2023-10-24 08:25:00.121","20.59493","21.94112","47.55305"
"2023-10-24 08:25:05.061","20.52655","21.93895","47.39517"
"2023-10-24 08:25:10.061","20.56087","21.93677","47.47442"
"2023-10-24 08:25:15.061","20.55687","21.94112","47.46518"
"2023-10-24 08:25:20.085","20.54915","21.94983","47.44736"
"2023-10-24 08:25:25.061","20.53452","21.94691","47.41357"
"2023-10-24 08:25:30.086","20.54231","21.94983","47.43156"
"2023-10-24 08:25:35.061","20.54039","21.94621","47.42712"
"2023-10-24 08:25:40.168","20.60104","21.9491","47.56715"
"2023-10-24 08:25:45.061","20.55818","21.94473","47.4682"
"2023-10-24 08:25:50.061","20.54198","21.94548","47.4308"
"2023-10-24 08:25:55.093","20.56995","21.95708","47.49538"
"2023-10-24 08:26:00.061","20.55083","21.95345","47.45124"
"2023-10-24 08:26:05.125","20.53995","21.96071","47.42611"
"2023-10-24 08:26:10.061","20.56013","21.95708","47.4727"
"2023-10-24 08:26:15.061","20.53199","21.95128","47.40773"
"2023-10-24 08:26:20.061","20.58194","21.95708","47.52305"
"2023-10-24 08:26:25.061","20.54846","21.95926","47.44576"
"2023-10-24 08:26:30.061","20.53342","21.96506","47.41103"
"2023-10-24 08:26:35.136","20.52881","21.96796","47.40038"
"2023-10-24 08:26:40.061","20.52065","21.96506","47.38153"
"2023-10-24 08:26:45.125","20.5438","21.96722","47.43499"
"2023-10-24 08:26:50.061","20.571","21.96577","47.49779"
"2023-10-24 08:26:55.061","20.5252","21.96796","47.39205"
"2023-10-24 08:27:00.072","20.52298","21.97014","47.38693"
"2023-10-24 08:27:05.078","20.529","21.97159","47.40081"
"2023-10-24 08:27:10.061","20.55763","21.97592","47.46693"
"2023-10-24 08:27:15.129","20.56308","21.97955","47.47952"
"2023-10-24 08:27:20.061","20.54494","21.97522","47.43762"
"2023-10-24 08:27:25.125","20.58782","21.97884","47.53664"
"2023-10-24 08:27:30.061","20.54846","21.97304","47.44576"
"2023-10-24 08:27:35.061","20.55758","21.97667","47.4668"
"2023-10-24 08:27:40.126","20.53391","21.98682","47.41217"
"2023-10-24 08:27:45.061","20.55328","21.98755","47.45689"
"2023-10-24 08:27:50.146","20.51492","21.98463","47.36832"
"2023-10-24 08:27:55.061","20.57202","21.98608","47.50016"
"2023-10-24 08:28:00.061","20.54277","21.98174","47.43261"
"2023-10-24 08:28:05.061","20.52806","21.98537","47.39866"
"2023-10-24 08:28:10.061","20.52245","21.99045","47.3857"
"2023-10-24 08:28:15.139","20.56516","21.99551","47.48433"
"2023-10-24 08:28:20.061","20.54322","21.99625","47.43367"
"2023-10-24 08:28:25.154","20.53034","21.9948","47.40391"
"2023-10-24 08:28:30.061","20.57582","21.99625","47.50892"
"2023-10-24 08:28:35.061","20.51215","21.99406","47.36192"
"2023-10-24 08:28:40.061","20.54205","22.0006","47.43095"
"2023-10-24 08:28:45.061","20.53294","22.00348","47.40992"
"2023-10-24 08:28:50.147","20.56548","22.00566","47.48505"
"2023-10-24 08:28:55.063","20.52721","22.00641","47.39668"
"2023-10-24 08:29:00.072","20.54662","22.00494","47.44151"
"2023-10-24 08:29:05.142","20.53309","22.00784","47.41027"
"2023-10-24 08:29:10.061","20.56455","21.99696","47.48291"
"2023-10-24 08:29:15.061","20.54081","21.99915","47.42808"
"2023-10-24 08:29:20.061","20.51595","22.00423","47.3707"
"2023-10-24 08:29:25.061","20.55926","22.01147","47.47069"
"2023-10-24 08:29:30.107","20.54352","22.00929","47.43436"
"2023-10-24 08:29:35.061","20.50991","22.00566","47.35674"
"2023-10-24 08:29:40.136","20.5211","22.01292","47.38259"
"2023-10-24 08:29:45.164","20.55175","22.00858","47.45336"
"2023-10-24 08:29:50.174","20.52316","22.00711","47.38733"
"2023-10-24 08:29:55.061","20.54198","22.00204","47.43081"
"2023-10-24 08:30:00.061","20.53636","22.00566","47.41782"
"2023-10-24 08:30:05.061","20.56179","22.00858","47.47653"
"2023-10-24 08:30:10.079","20.54041","22.01221","47.42716"
"2023-10-24 08:30:15.074","20.54228","22.01364","47.43149"
"2023-10-24 08:30:20.095","20.51722","22.01147","47.37362"
"2023-10-24 08:30:25.165","20.53453","22.01221","47.4136"
"2023-10-24 08:30:30.061","20.53893","22.00858","47.42376"
"2023-10-24 08:30:35.061","20.53482","21.99986","47.41428"
"2023-10-24 08:30:40.061","20.57094","22.00494","47.49767"
"2023-10-24 08:30:45.061","20.53613","22.00711","47.41729"
"2023-10-24 08:30:50.061","20.50646","22.00858","47.34878"
"2023-10-24 08:30:55.061","20.57245","22.01147","47.50114"
"2023-10-24 08:31:00.143","20.52675","22.01221","47.39564"
"2023-10-24 08:31:05.061","20.54292","22.00494","47.43296"
"2023-10-24 08:31:10.165","20.54482","22.00929","47.43734"
"2023-10-24 08:31:15.061","20.54183","21.99986","47.43045"
"2023-10-24 08:31:20.061","20.58558","22.00204","47.53146"
"2023-10-24 08:31:25.061","20.49753","22.00641","47.32817"
"2023-10-24 08:31:30.061","20.53436","22.00784","47.4132"
"2023-10-24 08:31:35.150","20.5429","22.01147","47.43292"
"2023-10-24 08:31:40.061","20.53527","22.01292","47.41531"
"2023-10-24 08:31:45.061","20.5252","22.00566","47.39205"
"2023-10-24 08:31:50.061","20.55309","22.01364","47.45646"
"2023-10-24 08:31:55.147","20.54111","22.02019","47.42879"
"2023-10-24 08:32:00.061","20.52791","22.01147","47.39832"
"2023-10-24 08:32:05.061","20.56609","22.00494","47.48647"
"2023-10-24 08:32:10.061","20.56033","22.00711","47.47317"
"2023-10-24 08:32:15.061","20.54629","22.01003","47.44074"
"2023-10-24 08:32:20.061","20.52954","22.01292","47.40208"
