"Location Properties"
"Location Name = PM7"
"Location ID = 9fe154eb-7703-5520-8bcd-425244eca219"
""
"Report Properties"
"Start Time = 2023-10-24 08:00:00.073"
"Duration = 06:00:01"
"Readings = 4321"
"Time Offset = -07:00:00"
""
"Instrument Properties"
"Device Model = Level TROLL 500"
"Device SN = 1065110"
"Device Firmware = 3.10"
""
"Log Properties"
"Log Name = PM7_3_step_PT-01c"
"Log Type = Fast Linear"
"Log File Number = 2"
"Log ID = 5c82a46f-ff3f-5b4c-b947-9504e687b14c"
"Interval = 00:00:05"
""
""
"Date Time","Pressure (psi) (1065110)","Temperature (°F) (1065110)","Depth (ft) (1065110)"
"2023-10-24 08:00:00.073","4.303497","71.79575","9.936641"
"2023-10-24 08:00:05.074","4.303778","71.79575","9.93729"
"2023-10-24 08:00:10.074","4.303778","71.79575","9.93729"
"2023-10-24 08:00:15.074","4.302762","71.80096","9.934944"
"2023-10-24 08:00:20.074","4.302937","71.79836","9.935347"
"2023-10-24 08:00:25.074","4.302665","71.79836","9.934721"
"2023-10-24 08:00:30.074","4.303362","71.8036","9.936331"
"2023-10-24 08:00:35.074","4.303648","71.80096","9.936992"
"2023-10-24 08:00:40.074","4.302762","71.80096","9.934944"
"2023-10-24 08:00:45.074","4.302665","71.8036","9.934721"
"2023-10-24 08:00:50.074","4.303216","71.80096","9.935992"
"2023-10-24 08:00:55.074","4.302665","71.8036","9.934721"
"2023-10-24 08:01:00.074","4.303063","71.8036","9.93564"
"2023-10-24 08:01:05.074","4.3028","71.8036","9.935032"
"2023-10-24 08:01:10.074","4.302762","71.80621","9.934944"
"2023-10-24 08:01:15.074","4.3028","71.80621","9.935032"
"2023-10-24 08:01:20.074","4.3028","71.8036","9.935032"
"2023-10-24 08:01:25.074","4.303063","71.80882","9.93564"
"2023-10-24 08:01:30.074","4.302762","71.80882","9.934944"
"2023-10-24 08:01:35.074","4.303177","71.80621","9.935903"
"2023-10-24 08:01:40.074","4.303026","71.80621","9.935553"
"2023-10-24 08:01:45.074","4.302098","71.80882","9.933411"
"2023-10-24 08:01:50.074","4.302975","71.80882","9.935435"
"2023-10-24 08:01:55.074","4.303936","71.80621","9.937654"
"2023-10-24 08:02:00.074","4.302222","71.80882","9.933698"
"2023-10-24 08:02:05.074","4.301853","71.80882","9.932846"
"2023-10-24 08:02:10.074","4.30234","71.80882","9.933969"
"2023-10-24 08:02:15.074","4.302532","71.80882","9.934413"
"2023-10-24 08:02:20.074","4.302532","71.81143","9.934413"
"2023-10-24 08:02:25.074","4.302665","71.81404","9.934721"
"2023-10-24 08:02:30.074","4.302762","71.81143","9.934944"
"2023-10-24 08:02:35.074","4.302419","71.81143","9.934152"
"2023-10-24 08:02:40.074","4.302098","71.81143","9.933411"
"2023-10-24 08:02:45.074","4.30234","71.81143","9.933969"
"2023-10-24 08:02:50.074","4.301955","71.81143","9.933081"
"2023-10-24 08:02:55.074","4.302937","71.81143","9.935347"
"2023-10-24 08:03:00.074","4.302222","71.81404","9.933698"
"2023-10-24 08:03:05.074","4.302493","71.81143","9.934321"
"2023-10-24 08:03:10.074","4.302222","71.81404","9.933698"
"2023-10-24 08:03:15.074","4.301814","71.81404","9.932755"
