"Location Properties"
"Location Name = PM7"
"Location ID = 9fe154eb-7703-5520-8bcd-425244eca219"
""
"Report Properties"
"Start Time = 2023-10-24 08:00:00.073"
"Duration = 06:00:01"
"Readings = 4321"
"Time Offset = -07:00:00"
""
"Instrument Properties"
"Device Model = Level TROLL 500"
"Device SN = 1065345"
"Device Firmware = 3.10"
""
"Log Properties"
"Log Name = PM7_4_step_PT-01c"
"Log Type = Fast Linear"
"Log File Number = 2"
"Log ID = 989616ef-7e8f-5750-8330-65c6f5d2c5be"
"Interval = 00:00:05"
""
""
"Date Time","Pressure (psi) (1065345)","Temperature (°F) (1065345)","Depth (ft) (1065345)"
"2023-10-24 08:00:00.073","4.303392","71.78918","9.9364"
"2023-10-24 08:00:05.074","4.303296","71.78654","9.936175"
"2023-10-24 08:00:10.074","4.303076","71.78918","9.935669"
"2023-10-24 08:00:15.074","4.303643","71.78918","9.936978"
"2023-10-24 08:00:20.074","4.303392","71.78918","9.9364"
"2023-10-24 08:00:25.074","4.302544","71.78918","9.934441"
"2023-10-24 08:00:30.074","4.303076","71.78918","9.935669"
"2023-10-24 08:00:35.074","4.303076","71.78918","9.935669"
"2023-10-24 08:00:40.074","4.302926","71.79437","9.935323"
"2023-10-24 08:00:45.074","4.303349","71.79437","9.936298"
"2023-10-24 08:00:50.074","4.30312","71.79437","9.93577"
"2023-10-24 08:00:55.074","4.303252","71.79437","9.936075"
"2023-10-24 08:01:00.074","4.303763","71.79437","9.937255"
"2023-10-24 08:01:05.074","4.302701","71.79698","9.934804"
"2023-10-24 08:01:10.074","4.302926","71.79437","9.935323"
"2023-10-24 08:01:15.074","4.303076","71.79698","9.935669"
"2023-10-24 08:01:20.074","4.302882","71.79698","9.935222"
"2023-10-24 08:01:25.074","4.302501","71.79698","9.93434"
"2023-10-24 08:01:30.074","4.303392","71.79698","9.9364"
"2023-10-24 08:01:35.074","4.302501","71.79698","9.93434"
"2023-10-24 08:01:40.074","4.302926","71.79698","9.935323"
"2023-10-24 08:01:45.074","4.302385","71.79962","9.934073"
"2023-10-24 08:01:50.074","4.302805","71.79962","9.935044"
"2023-10-24 08:01:55.074","4.303296","71.79962","9.936175"
"2023-10-24 08:02:00.074","4.303076","71.80223","9.935669"
"2023-10-24 08:02:05.074","4.302805","71.79962","9.935044"
"2023-10-24 08:02:10.074","4.303076","71.79962","9.935669"
"2023-10-24 08:02:15.074","4.302657","71.80223","9.934702"
"2023-10-24 08:02:20.074","4.303719","71.80481","9.937154"
"2023-10-24 08:02:25.074","4.302544","71.80223","9.934441"
"2023-10-24 08:02:30.074","4.302926","71.79962","9.935323"
"2023-10-24 08:02:35.074","4.302701","71.80223","9.934804"
"2023-10-24 08:02:40.074","4.302926","71.80223","9.935323"
"2023-10-24 08:02:45.074","4.302229","71.80223","9.933714"
"2023-10-24 08:02:50.074","4.302849","71.80223","9.935145"
"2023-10-24 08:02:55.074","4.302073","71.80223","9.933352"
"2023-10-24 08:03:00.074","4.302385","71.80481","9.934073"
"2023-10-24 08:03:05.074","4.302116","71.80481","9.933454"
"2023-10-24 08:03:10.074","4.302116","71.80481","9.933454"
"2023-10-24 08:03:15.074","4.302657","71.80481","9.934702"
"2023-10-24 08:03:20.074","4.302116","71.80223","9.933454"
"2023-10-24 08:03:25.074","4.302229","71.80481","9.933714"
"2023-10-24 08:03:30.074","4.302073","71.80481","9.933352"
"2023-10-24 08:03:35.074","4.302185","71.80481","9.933612"
"2023-10-24 08:03:40.074","4.302805","71.80481","9.935044"
"2023-10-24 08:03:45.074","4.302185","71.80481","9.933612"
"2023-10-24 08:03:50.074","4.303392","71.80481","9.9364"
"2023-10-24 08:03:55.074","4.302613","71.80481","9.9346"
"2023-10-24 08:04:00.074","4.302385","71.80481","9.934073"
"2023-10-24 08:04:05.074","4.302116","71.80481","9.933454"
"2023-10-24 08:04:10.074","4.302657","71.80481","9.934702"
"2023-10-24 08:04:15.074","4.302588","71.80745","9.934544"
"2023-10-24 08:04:20.074","4.301263","71.80745","9.931483"
"2023-10-24 08:04:25.074","4.301981","71.80481","9.933141"
"2023-10-24 08:04:30.074","4.303031","71.80745","9.935566"
"2023-10-24 08:04:35.074","4.302341","71.80745","9.933972"
"2023-10-24 08:04:40.074","4.301774","71.80481","9.932663"
"2023-10-24 08:04:45.074","4.302116","71.80481","9.933454"
"2023-10-24 08:04:50.074","4.302341","71.80481","9.933972"
"2023-10-24 08:04:55.074","4.302429","71.80745","9.934175"
"2023-10-24 08:05:00.074","4.302501","71.80745","9.93434"
"2023-10-24 08:05:05.074","4.301404","71.80481","9.931808"
"2023-10-24 08:05:10.074","4.301448","71.80745","9.93191"
"2023-10-24 08:05:15.074","4.302805","71.80745","9.935044"
"2023-10-24 08:05:20.074","4.302073","71.80745","9.933352"
"2023-10-24 08:05:25.074","4.301585","71.80481","9.932225"
"2023-10-24 08:05:30.074","4.302613","71.80745","9.9346"
"2023-10-24 08:05:35.074","4.301404","71.81006","9.931808"
"2023-10-24 08:05:40.074","4.302229","71.80745","9.933714"
"2023-10-24 08:05:45.074","4.301541","71.80745","9.932125"
"2023-10-24 08:05:50.074","4.301673","71.80745","9.932429"
"2023-10-24 08:05:55.074","4.302229","71.80745","9.933714"
"2023-10-24 08:06:00.074","4.301698","71.80745","9.932487"
"2023-10-24 08:06:05.074","4.302161","71.80481","9.933556"
"2023-10-24 08:06:10.074","4.301981","71.80745","9.933141"
"2023-10-24 08:06:15.074","4.301404","71.80745","9.931808"
"2023-10-24 08:06:20.074","4.302613","71.81006","9.9346"
"2023-10-24 08:06:25.074","4.301448","71.80745","9.93191"
"2023-10-24 08:06:30.074","4.302805","71.81006","9.935044"
"2023-10-24 08:06:35.074","4.301541","71.81006","9.932125"
"2023-10-24 08:06:40.074","4.301585","71.80745","9.932225"
"2023-10-24 08:06:45.074","4.302025","71.80745","9.933243"
"2023-10-24 08:06:50.074","4.302544","71.80745","9.934441"
"2023-10-24 08:06:55.074","4.302116","71.81006","9.933454"
"2023-10-24 08:07:00.074","4.301585","71.81006","9.932225"
"2023-10-24 08:07:05.074","4.302025","71.80745","9.933243"
"2023-10-24 08:07:10.074","4.301698","71.81006","9.932487"
"2023-10-24 08:07:15.074","4.302229","71.81006","9.933714"
"2023-10-24 08:07:20.074","4.302701","71.80745","9.934804"
"2023-10-24 08:07:25.074","4.301448","71.81006","9.93191"
"2023-10-24 08:07:30.074","4.301774","71.80745","9.932663"
"2023-10-24 08:07:35.074","4.302185","71.80745","9.933612"
"2023-10-24 08:07:40.074","4.301818","71.8127","9.932765"
"2023-10-24 08:07:45.074","4.301981","71.80745","9.933141"
"2023-10-24 08:07:50.074","4.301541","71.81006","9.932125"
"2023-10-24 08:07:55.074","4.300571","71.80745","9.929886"
"2023-10-24 08:08:00.074","4.301307","71.81006","9.931585"
"2023-10-24 08:08:05.074","4.301263","71.80745","9.931483"
"2023-10-24 08:08:10.074","4.301937","71.81006","9.933039"
"2023-10-24 08:08:15.074","4.30108","71.80745","9.93106"
"2023-10-24 08:08:20.074","4.301263","71.80745","9.931483"
"2023-10-24 08:08:25.074","4.301263","71.81006","9.931483"
"2023-10-24 08:08:30.074","4.301585","71.81006","9.932225"
"2023-10-24 08:08:35.074","4.301818","71.80745","9.932765"
"2023-10-24 08:08:40.074","4.301698","71.81006","9.932487"
"2023-10-24 08:08:45.074","4.301698","71.8127","9.932487"
"2023-10-24 08:08:50.074","4.301307","71.81006","9.931585"
"2023-10-24 08:08:55.074","4.301774","71.81006","9.932663"
"2023-10-24 08:09:00.074","4.300973","71.81006","9.930815"
"2023-10-24 08:09:05.074","4.301307","71.81006","9.931585"
"2023-10-24 08:09:10.074","4.301585","71.80745","9.932225"
"2023-10-24 08:09:15.074","4.301654","71.81006","9.932385"
"2023-10-24 08:09:20.074","4.301818","71.81006","9.932765"
"2023-10-24 08:09:25.074","4.302229","71.81006","9.933714"
"2023-10-24 08:09:30.074","4.302116","71.81006","9.933454"
"2023-10-24 08:09:35.074","4.301263","71.81006","9.931483"
"2023-10-24 08:09:40.074","4.301698","71.81006","9.932487"
"2023-10-24 08:09:45.074","4.300929","71.81006","9.930711"
"2023-10-24 08:09:50.074","4.301352","71.80745","9.931687"
"2023-10-24 08:09:55.074","4.301124","71.81006","9.931161"
"2023-10-24 08:10:00.074","4.301585","71.81006","9.932225"
"2023-10-24 08:10:05.074","4.301263","71.81006","9.931483"
"2023-10-24 08:10:10.074","4.301981","71.81006","9.933141"
"2023-10-24 08:10:15.074","4.301654","71.81006","9.932385"
"2023-10-24 08:10:20.074","4.301698","71.81006","9.932487"
"2023-10-24 08:10:25.074","4.301981","71.81006","9.933141"
"2023-10-24 08:10:30.074","4.301124","71.8127","9.931161"
"2023-10-24 08:10:35.074","4.300973","71.81006","9.930815"
"2023-10-24 08:10:40.074","4.301774","71.81528","9.932663"
"2023-10-24 08:10:45.074","4.300723","71.81006","9.930237"
"2023-10-24 08:10:50.074","4.301167","71.81006","9.931263"
"2023-10-24 08:10:55.074","4.300929","71.81006","9.930711"
